,away,bet.result,betting.opportunity,bookie,day,game.result,home,month,outcome,predicted.bookie.rank,predicted.run.rank,predicted.runs,the.bet,year,date
2,MIA,100,5.0,7.0,6,OVER,CHC,5,11.0,2.0,7.0,10.193715656230957,OVER,2019,2019-05-06
3,KC,-100,4.0,8.0,6,OVER,HOU,5,10.0,6.0,2.0,8.517737831883634,UNDER,2019,2019-05-06
4,PHI,100,4.0,9.0,6,UNDER,STL,5,6.0,10.0,6.0,10.046530358682054,UNDER,2019,2019-05-06
5,SF,100,3.0,8.0,6,OVER,CIN,5,16.0,6.0,9.0,10.374962159631805,OVER,2019,2019-05-06
6,CWS,100,1.0,9.0,6,OVER,CLE,5,10.0,10.0,11.0,10.806854046766693,OVER,2019,2019-05-06
7,ATL,0,1.0,8.0,6,PUSH,LAD,5,8.0,6.0,5.0,9.87239013065552,UNDER,2019,2019-05-06
8,WSH,100,0.5,7.5,6,OVER,MIL,5,8.0,3.5,4.0,9.359157984318252,OVER,2019,2019-05-06
9,ARI,-100,0.5,7.5,6,OVER,TB,5,13.0,3.5,3.0,8.590296539489524,UNDER,2019,2019-05-06
10,SEA,100,0.0,9.0,6,OVER,NYY,5,10.0,10.0,10.0,10.634874616592539,OVER,2019,2019-05-06
0,KC,-100,9.5,8.5,19,UNDER,LAA,5,6.0,4.5,14.0,10.30204464241198,OVER,2019,2019-05-19
1,PIT,100,7.5,8.0,19,OVER,SD,5,10.0,2.5,10.0,9.87981863929816,OVER,2019,2019-05-19
2,COL,-100,6.0,10.0,19,OVER,PHI,5,12.0,12.0,6.0,9.522208681463848,UNDER,2019,2019-05-19
3,OAK,0,6.0,10.5,19,PUSH,DET,5,10.5,14.0,8.0,9.846415264975027,UNDER,2019,2019-05-19
4,TOR,-100,5.5,9.5,19,UNDER,CWS,5,7.0,9.5,15.0,10.358537074760788,OVER,2019,2019-05-19
5,TB,-100,5.0,9.0,19,OVER,NYY,5,18.0,7.0,2.0,9.101828004343577,UNDER,2019,2019-05-19
6,CHC,-100,3.0,10.0,19,OVER,WSH,5,11.0,12.0,9.0,9.852910076245918,UNDER,2019,2019-05-19
7,STL,100,3.0,11.0,19,UNDER,TEX,5,9.0,15.0,12.0,10.25100714944084,UNDER,2019,2019-05-19
8,MIL,100,3.0,9.0,19,UNDER,ATL,5,5.0,7.0,4.0,9.429698810220357,UNDER,2019,2019-05-19
9,SF,-100,2.5,8.0,19,UNDER,ARI,5,5.0,2.5,5.0,9.445758981520648,OVER,2019,2019-05-19
10,MIN,-100,1.5,8.5,19,OVER,SEA,5,11.0,4.5,3.0,9.37509245812367,UNDER,2019,2019-05-19
11,HOU,-100,1.5,9.5,19,UNDER,BOS,5,7.0,9.5,11.0,9.952939640611866,OVER,2019,2019-05-19
12,BAL,0,1.0,10.0,19,PUSH,CLE,5,10.0,12.0,13.0,10.292096606557237,OVER,2019,2019-05-19
13,LAD,100,0.0,9.0,19,OVER,CIN,5,11.0,7.0,7.0,9.539988751974652,OVER,2019,2019-05-19
14,NYM,-100,0.0,7.0,19,UNDER,MIA,5,3.0,1.0,1.0,8.499086955852556,OVER,2019,2019-05-19
0,TEX,100,4.0,9.0,9,UNDER,HOU,5,6.0,5.0,1.0,8.545838226224326,UNDER,2019,2019-05-09
